Abreviation,Defination
ETA,Estimated Time of Arrival
ETD,Estimated Time of Departure
ETOPS,Extended Range Operations for Two-Engine Aeroplanes
EWD,Engine/Warning Display
EWIS,Electrical Wiring Interconnection System
FAC,Flight Augmentation Computer
FADEC,Full Authority Digital Engine Control
FAP,Flight Attendant Panel
FAR,Federal Aviation Regulations
FCC,Flight Control Computer
FCDC,Flight Control Data Concentrator
FCGS,Flight Control and Guidance System
FCGU,Flight Control and Guidance Unit
FCMC,Fuel Control and Monitoring Computer
FCMS,Fuel Control Monitoring System
FCOM,Flight Crew Operating Manual
FCPC,Flight Control Primary Computer
FCRC,Flight Crew Rest Compartment
FCRM,Flight Control Remote Module
FCS,Flight Control System
FCSC,Flight Control Secondary Computer
FCTM,Flight Crew Training Manual
FCU,Flight Control Unit/Fuel Control Unit
FD,Flight Director
FDAU,Flight Data Acquisition Unit
FDM,Flight Data Monitoring
FEGV,Fan Exit Guide Vane
FH,Flight Hours
FIC,Fan Intermediate Case
FIM,Fault Isolation Manual
FIN,Functional Item Number
FL,Flight Level
FMC,Flight Management Computer
FMCS,Flight Management Computer System
FMGC,Flight Management and Guidance Computer
FMGS,Flight Management and Guidance System
FMGS ,XXX
FMS,Flight Management System
FO,First Officer
FOB,Fuel On Board
FOC,Fuel/Oil Cooler
FOd,Foreign Object Debris
FPI,Fluorescence Penetrant Inspection 
FPL,XXX
FQI,Fuel Quantity Indicating/Indication/Indicator
FQIC,Fuel Quantity Indication Computer
FQIS,Fuel Quantity Indicating System
FQMS,Fuel Quantity and Management System
FRU,Bishkek
FWC,Flight Warning Computer
FWD,Forward
FWS,Flight Warning System
GCU,Generator Control Unit
GEM,Ground Equipment Manual
GPCU,Ground Power Control Unit
GPS,Global Positioning System
GPWC,Ground Proximity Warning Computer
GPWS,Ground Proximity Warning System
GW,Gross Weight
HC,Heater Circuit
HCF,High Cycle Fatigue
HF,High Frequency
HPC,High Pressure Compressor
HPT,High Pressure Turbine
HPTACC,High Pressure Turbine Active Clearance Control
HPTC,High Pressure Turbine Clearance
IAE,Internatinal Aero Engines
IAS,Indicated Airspeed
IBR,Integrally Bladed Rotor 
ICA,Instructions for Continued Airworthiness
ICAO,International Civil Aviation Organization
IDG,Integraded Drive Generator
IFE,In-Flight Entertainment
IFS,In-Flight Supervisor
IFSD,In-flight Shutdown 
IFTB,Inflight Turn Back
IGB,Inlet Gear Box
IGV,Inlet Guide Vane
IPC,Illustrated Parts Catalog
KC,Air Astana
LH,Left Hand
LP,Low Pressure
LRU,Line Replaceable Unit
LVDT,Linear Variable Differential Transducer
MCC,Maintenance Control Center
MCDL,Master Configuration Deviation List
MCDU ,XXX
MCT,Maximum Continuous Thrust 
MEL,Minimum Equipment List
MFG,Manufacturing
MGB,Main Gear Box
MLG,Main Landing Gear
MLW,Maximum Landing Weight
MMEL,Master Minimum Equipment List
MPD,Maintenance Planning Document
MRB,Maintenance Review Board
MRBR,Maintenance Review Board Report
MRO,Maintenance Repair Organization
MSDS,Material Safety Data Sheet
MSN,Manufacturer Serial Number
MTBD,Mean Time Between Defects
MTBF,Mean Time Between Failures
MTBR,Mean Time Between Removals
MTBUR,Mean Time Between Unscheduled Removals
MTO,Maximum Take-Off
MTOGW,Maximum Takeoff Gross Weight
MTOW,Maximum Takeoff Weight
MTTF,Mean Time to Failure
MTTR,Mean Time to Repair
MTTUR,Mean Time to Unscheduled Removal
MTW,Maximum Taxi Weight
MU,Management Unit
MZFW,Maximum Zero Fuel Weight
N/A,Not Applicable
N/W,Nose Wheel
N/WS,Nose Wheel Steering
N1,Engine Fan Speed
N2,High Pressure Rotor Speed
ND,Navigation Display
NDT,Non-Destructive Test
NEO,New Engine Option
NIA,National Investigation Agency
NLG,Noise Landing Gear
No.,Number
NOTAM ,Noitice To Air Members
NQZ,Astana
NTM,Nondestructive Testing Manual
NTSB,National Transport Safety Board
NWS,Nose Wheel Steering
OAT,Outside Air Temperature
OEM,Original Equipment Manufacture
OFP,Operational Flight Plan
OPSOV,Over-Pressure Shut Off Valve
OVHD,Overhead
P/B,Pushbutton
P/N,Part Number
PA,Passenger Address
PBE,Protective Breathing Equipment
PC,Personal Computer
PCU,Passenger Control Unit / Power Control Unit
PF,Pilot Flying
PFR,Post Flight Report
PIPC,Power Plant Illustrated Parts Catalog
PIREP,Pilot Report
PM,Pilot Monitoring
PN,Part Number
PRAPI,Rules for Investigation of Incidents and Accidents of Republic of Kazakhstan
PRSOV,Pressure Regulating and Shut-off Valve 
PSCU,Proximity Switch Control Unit
PW,Pratt&Witney
QAD,Quick-Attach-Detach
QAR,Quick Access Recorder
QRH,Quick Reference Handbook
QTY,Quantity
RA,Radio Altimeter
RAI,Ram Air Inlet
RAT,Ram Air Turbine
RDAF,Repair Design Approval Form
RDAS,Repair Design Approval Sheet
RH,Right Hand
RTO,Rejected TakeOff
RTOLW,Regulatory TakeOff and Landing Weight
RTOW,Regulatory TakeOff Weight
RVSM,Reduced Vertical Separation Minimum
SATCOM,Satellite Communication
SB,Service Bulletin
SDAC,System Data Acquisition Concentrator
SEC,Spoiler Elevator Computer
SN,Serila Number
SOP,Standard Operational Procedures
SPDA,Secondary Power Distribution Assembly
SRM,Structural Repair Manual
T.O,TakeOff
T/R,Thrust Reverser
T2CAS,Traffic and Terrain Collision Avoidance System
TA,Traffic Advisory
TAS,Tashkent / True Airspeed
TAT,Total Air Temperature
TE,Trailing Edge
TEC,Turbine Exhaust Case
TFU,Technical Follow-up
THS,Trimmable Horizontal Stabilizer
THSA,Trimmable Horizontal Stabilizer Actuator
TIC,Turbine Intermediate Case
TLA,Throttle Lever Angle
TOGA,Takeoff/Go Around
TOGW,Takeoff Gross Weight
TOW,Takeoff Weight
TR,Thrust Reverser
TRAX,maintenance management system 
TSD,Technical Service Department
TSM,Trouble Shooting Manual
U/S,Unserviceable
UTC,Universal Coordinated Time
VHF,Very High Frequency
VIGV,Variable Inlet Guide Vane 
WD,Warning Display
WDM,Wiring Diagram Manual
X BLEED,Crossbleed
X FEED,Crossfeed
ZFCG,Zero Fuel Center of Gravity
ZFW,Zero Fuel Weight
LR,Long Range
EGT,Exaust Gas Temperature
GUW,Atyrau
